Sample #, X Value, Y Value (Probability)
184, 12.7954, 1.60497e-07
185, 12.7954, 1.60497e-07
186, 12.7667, 1.73159e-07
187, 12.7667, 1.73159e-07
188, 12.7667, 1.73159e-07
189, 12.7667, 1.73159e-07
190, 12.7667, 1.73159e-07
191, 10.2085, 6.57839e-05
192, 10.2085, 6.57839e-05
193, 9.41425, 0.000298198
194, 8.14924, 0.00239046
195, 8.14924, 0.00239046
196, 6.13606, 0.0287632
197, 6.13606, 0.0287632
198, 6.13606, 0.0287632
199, 0.942297, 0.163685
200, -2.68935, 0.0100488
201, -3.78258, 0.00227451
202, -3.78258, 0.00227451
203, -6.78249, 8.31276e-06
204, -6.78249, 8.31276e-06
205, -6.78249, 8.31276e-06
206, -6.78249, 8.31276e-06
207, -8.42683, 1.47672e-07
208, -8.42683, 1.47672e-07
209, -9.66598, 4.53127e-09
210, -9.66598, 4.53127e-09
211, -9.16456, 1.94342e-08
212, -9.16456, 1.94342e-08
213, -8.77804, 5.7198e-08
214, -8.77804, 5.7198e-08
215, -8.77804, 5.7198e-08
216, -6.44911, 1.73316e-05
217, -6.38425, 1.99308e-05
218, -7.64646, 1.08798e-06
219, -7.64646, 1.08798e-06
220, -7.24492, 2.86511e-06
221, -7.24492, 2.86511e-06
222, -8.1912, 2.74256e-07
223, -8.1912, 2.74256e-07
224, -10.2446, 7.80912e-10
225, -10.7315, 1.66665e-10
226, -10.7315, 1.66665e-10
227, -13.0292, 5.11996e-14
228, -13.0292, 5.11996e-14
229, -13.0292, 5.11996e-14
230, -15, 1.73648e-17
231, -15, 1.73648e-17
232, -15, 1.73648e-17
233, -15, 1.73648e-17
234, -15, 1.73648e-17
235, -15, 1.73648e-17
236, -15, 1.73648e-17
237, -14.8425, 3.4074e-17
238, -14.8425, 3.4074e-17
239, -14.8425, 3.4074e-17
240, -14.8425, 3.4074e-17
241, -14.3177, 3.08013e-16
242, -11.5469, 1.09872e-11
243, -11.8818, 3.42761e-12
244, -10.9133, 9.22069e-11
245, -10.9133, 9.22069e-11
246, -10.5319, 3.16147e-10
247, -12.3861, 5.62491e-13
248, -11.5016, 1.28375e-11
249, -11.5016, 1.28375e-11
250, -11.5016, 1.28375e-11
251, -11.5016, 1.28375e-11
252, -12.7484, 1.47677e-13
253, -11.234, 3.18082e-11
254, -8.33247, 1.89533e-07
255, -8.33247, 1.89533e-07
256, -8.33247, 1.89533e-07
257, -7.13526, 3.70635e-06
258, -7.13526, 3.70635e-06
259, -7.13526, 3.70635e-06
260, -9.78229, 3.20354e-09
261, -11.6127, 8.75776e-12
262, -9.64037, 4.88847e-09
263, -8.31395, 1.98995e-07
264, -5.75253, 7.35586e-05
265, -5.82089, 6.41736e-05
266, -5.80729, 6.59458e-05
267, -8.0516, 3.93184e-07
268, -8.41895, 1.50796e-07
269, -4.94389, 0.000338334
270, -2.10421, 0.0196856
271, -2.10421, 0.0196856
272, -2.43169, 0.013655
273, -1.26756, 0.0443748
274, 2.40804, 0.198395
275, 2.40804, 0.198395
276, 2.40804, 0.198395
277, 7.16636, 0.00913925
278, 7.16636, 0.00913925
279, 7.34334, 0.00730766
280, 8.24035, 0.00208536
281, 7.67267, 0.00472044
282, 8.52436, 0.00134445
283, 6.25126, 0.0256382
284, 6.75834, 0.0148553
285, 4.41687, 0.107916
286, 3.20315, 0.175894
287, 4.84944, 0.0829492
288, 4.84944, 0.0829492
289, 6.37385, 0.0226021
290, 3.6609, 0.152763
291, 3.6609, 0.152763
292, 3.6609, 0.152763
293, 1.22014, 0.176912
294, 1.22014, 0.176912
295, -2.02965, 0.0213153
296, -2.02965, 0.0213153
297, -2.02965, 0.0213153
298, -2.02965, 0.0213153
299, -2.02965, 0.0213153
300, -2.02965, 0.0213153
301, -2.02965, 0.0213153
302, -2.02965, 0.0213153
303, -2.02965, 0.0213153
304, -4.75455, 0.000472343
305, -1.43152, 0.0383662
306, -3.66954, 0.00268916
307, -2.63053, 0.0107932
308, -1.90665, 0.02423
309, -4.44808, 0.00079537
310, -4.44808, 0.00079537
311, -4.44808, 0.00079537
312, -3.09066, 0.00603023
313, -3.9974, 0.00164001
314, -3.9974, 0.00164001
315, -3.9974, 0.00164001
316, -2.6097, 0.0110675
317, -2.6097, 0.0110675
318, -3.28424, 0.00464625
319, -2.72156, 0.00965959
320, -0.826803, 0.0634643
321, -0.826803, 0.0634643
322, -0.142273, 0.100473
323, 0.219634, 0.122173
324, -1.75688, 0.0281783
325, -4.59297, 0.000623518
326, -6.16517, 3.17035e-05
327, -6.12534, 3.44501e-05
328, -6.12534, 3.44501e-05
329, -6.12534, 3.44501e-05
330, -6.12534, 3.44501e-05
331, -6.12534, 3.44501e-05
332, -6.12534, 3.44501e-05
333, -6.12534, 3.44501e-05
334, -5.33945, 0.000163696
335, -5.33945, 0.000163696
336, -5.33945, 0.000163696
337, -5.33945, 0.000163696
338, -3.97822, 0.0016894
339, -3.97822, 0.0016894
340, -3.97822, 0.0016894
341, -3.97822, 0.0016894
342, -2.12984, 0.0191487
343, -2.901, 0.0077148
344, -4.795, 0.000440177
345, -4.61705, 0.000598485
346, -4.86689, 0.000387921
347, -4.86689, 0.000387921
348, -4.86689, 0.000387921
349, -3.88668, 0.00194392
350, -3.88668, 0.00194392
351, -3.88668, 0.00194392
352, -3.88668, 0.00194392
353, -6.70387, 9.91022e-06
354, -7.70289, 9.46498e-07
355, -7.70289, 9.46498e-07
356, -7.70289, 9.46498e-07
357, -7.28484, 2.6069e-06
358, -7.05066, 4.51134e-06
359, -9.41279, 9.52655e-09
360, -9.41279, 9.52655e-09
361, -8.53882, 1.09496e-07
362, -8.53882, 1.09496e-07
363, -8.53882, 1.09496e-07
364, -8.53882, 1.09496e-07
365, -8.53882, 1.09496e-07
366, -7.90781, 5.6691e-07
367, -7.90781, 5.6691e-07
368, -7.90781, 5.6691e-07
369, -9.25027, 1.52199e-08
370, -9.25027, 1.52199e-08
371, -9.25027, 1.52199e-08
372, -9.25027, 1.52199e-08
373, -8.79309, 5.48813e-08
374, -11.3693, 2.01495e-11
375, -11.3693, 2.01495e-11
376, -10.6284, 2.32288e-10
377, -9.25494, 1.50175e-08
378, -9.25494, 1.50175e-08
379, -7.85786, 6.42975e-07
380, -7.85786, 6.42975e-07
381, -7.16456, 3.46098e-06
382, -7.16456, 3.46098e-06
383, -7.78429, 7.73103e-07
384, -8.95636, 3.49229e-08
385, -8.95636, 3.49229e-08
386, -8.95636, 3.49229e-08
387, -8.95636, 3.49229e-08
388, -6.37337, 2.04014e-05
389, -6.37337, 2.04014e-05
390, -6.37337, 2.04014e-05
391, -5.96107, 4.83299e-05
392, -4.31653, 0.000987596
393, -4.07606, 0.0014507
394, -3.37329, 0.00410814
395, -3.37329, 0.00410814
396, -1.13488, 0.0496746
397, -0.775505, 0.0659546
398, -0.775505, 0.0659546
399, 0.246132, 0.123775
400, 0.246132, 0.123775
401, 0.246132, 0.123775
402, 0.956812, 0.164429
403, 3.65667, 0.152999
404, 3.65667, 0.152999
405, 1.83863, 0.196242
406, -1.71821, 0.0292716
407, -2.01353, 0.021681
408, -2.01353, 0.021681
409, -2.49456, 0.01269
410, -2.49456, 0.01269
411, -2.49456, 0.01269
412, -0.492106, 0.0806195
413, -1.53267, 0.0349552
414, -1.53267, 0.0349552
415, -3.88908, 0.00193685
416, -2.55198, 0.011858
417, -3.59465, 0.00299945
418, -4.08848, 0.0014227
419, -4.08848, 0.0014227
420, -5.3167, 0.000170857
421, -2.72119, 0.00966403
422, -2.72119, 0.00966403
423, -2.72119, 0.00966403
424, -3.62049, 0.00288899
425, -3.99041, 0.00165786
426, -3.99041, 0.00165786
427, -3.99041, 0.00165786
428, -2.71016, 0.00979589
429, -2.71016, 0.00979589
430, -3.54399, 0.00322682
431, -5.10057, 0.000254966
432, -6.28207, 2.47851e-05
433, -6.28207, 2.47851e-05
434, -6.28207, 2.47851e-05
435, -6.28207, 2.47851e-05
436, -6.28207, 2.47851e-05
437, -6.28207, 2.47851e-05
438, -7.85868, 6.41656e-07
439, -7.85868, 6.41656e-07
440, -7.16059, 3.49327e-06
441, -7.16059, 3.49327e-06
442, -7.16059, 3.49327e-06
443, -7.16059, 3.49327e-06
444, -7.16059, 3.49327e-06
445, -6.48571, 1.60103e-05
446, -9.18032, 1.85826e-08
447, -9.18032, 1.85826e-08
448, -10.2331, 8.09247e-10
449, -9.61518, 5.26651e-09
450, -9.10193, 2.32074e-08
451, -11.1501, 4.21349e-11
452, -11.1501, 4.21349e-11
453, -11.1501, 4.21349e-11
454, -10.4096, 4.65725e-10
455, -10.4096, 4.65725e-10
456, -10.4096, 4.65725e-10
457, -11.47, 1.43027e-11
458, -9.50611, 7.25757e-09
459, -9.50611, 7.25757e-09
460, -13.4157, 1.15356e-14
461, -13.4157, 1.15356e-14
462, -13.4157, 1.15356e-14
463, -13.4157, 1.15356e-14
464, -13.0287, 5.12963e-14
465, -13.0287, 5.12963e-14
466, -15, 1.73648e-17
467, -15, 1.73648e-17
468, -15, 1.73648e-17
469, -15, 1.73648e-17
470, -15, 1.73648e-17
471, -15, 1.73648e-17
472, -15, 1.73648e-17
473, -14.4018, 2.17491e-16
474, -14.4018, 2.17491e-16
475, -14.4018, 2.17491e-16
476, -14.4018, 2.17491e-16
477, -11.9039, 3.17014e-12
478, -11.9039, 3.17014e-12
479, -11.9039, 3.17014e-12
480, -11.9039, 3.17014e-12
481, -11.9039, 3.17014e-12
482, -11.9039, 3.17014e-12
483, -9.65699, 4.65369e-09
484, -9.65699, 4.65369e-09
485, -9.65699, 4.65369e-09
486, -10.6105, 2.46033e-10
487, -12.4914, 3.82645e-13
488, -12.4914, 3.82645e-13
489, -10.0419, 1.45965e-09
490, -9.71915, 3.86864e-09
491, -6.94106, 5.80398e-06
492, -6.94106, 5.80398e-06
493, -7.83318, 6.84097e-07
494, -4.52825, 0.000695587
495, -3.59819, 0.0029841
496, -6.92455, 6.02694e-06
497, -6.54782, 1.39836e-05
498, -7.03208, 4.70922e-06
499, -7.03208, 4.70922e-06
500, -7.03208, 4.70922e-06
